City_ID,City,Country,Date,Lat,Lng,Overall Weather,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
184,Bungu,TZ,2021-06-25 15:24:03,-7.6337,39.0582,Clouds,few clouds,73.2,70,18,6.91,0,0
185,Necochea,AR,2021-06-25 15:24:03,-38.5473,-58.7368,Clouds,scattered clouds,57.04,52,30,16.11,0,0
186,Kruisfontein,ZA,2021-06-25 15:24:04,-34.0033,24.7314,Clear,clear sky,66.88,52,0,10.13,0,0
187,Boa Vista,BR,2021-06-25 15:23:49,2.8197,-60.6733,Clouds,broken clouds,85.98,58,75,10.36,0,0
188,Caloundra,AU,2021-06-25 15:24:04,-26.8,153.1333,Rain,light rain,67.89,96,100,8.59,0,0
189,Riberalta,BO,2021-06-25 15:24:05,-10.9833,-66.1,Clouds,scattered clouds,84.4,65,37,9.22,0,0
190,Srednekolymsk,RU,2021-06-25 15:24:05,67.45,153.6833,Clouds,broken clouds,58.84,52,79,7.43,0,0
191,Amga,RU,2021-06-25 15:24:05,60.8953,131.9608,Clouds,few clouds,58.3,73,14,3.42,0,0
192,Montbrison,FR,2021-06-25 15:24:06,45.6667,4.0833,Clouds,few clouds,71.94,53,12,5.01,0,0
193,Bhabua,IN,2021-06-25 15:24:06,25.05,83.6167,Rain,very heavy rain,79.29,93,100,8.37,0,0
194,Qaanaaq,GL,2021-06-25 15:24:06,77.484,-69.3632,Clouds,few clouds,40.03,77,21,3.42,0,0
195,Markova,UA,2021-06-25 15:24:07,48.6758,24.4138,Rain,heavy intensity rain,69.39,97,100,7.47,0,0
196,Mahabaleshwar,IN,2021-06-25 15:24:07,17.9167,73.6667,Clouds,overcast clouds,60.37,92,100,3.6,0,0
197,Grand-Santi,GF,2021-06-25 15:14:32,4.25,-54.3833,Clear,clear sky,87.82,51,7,4.9,0,0
198,Orodara,BF,2021-06-25 15:24:08,10.9492,-4.9342,Clouds,overcast clouds,79.18,39,100,12.03,0,0
199,Oranjestad,AW,2021-06-25 15:24:08,12.524,-70.027,Clouds,scattered clouds,87.75,62,40,18.41,0,0
200,Guanica,PR,2021-06-25 15:24:08,17.9716,-66.908,Clouds,overcast clouds,88.5,71,100,13.0,0,0
